iteration,local_auc,local_bce,local_ap,local_brier,global_auc,global_bce,global_ap,global_brier,symmetric_auc,symmetric_bce,symmetric_ap,symmetric_brier,residual_auc,residual_bce,residual_ap,residual_brier,delta_residual_minus_symmetric_auc,delta_residual_minus_symmetric_bce,delta_residual_minus_symmetric_ap,delta_residual_minus_symmetric_brier,delta_symmetric_minus_local_auc,delta_symmetric_minus_local_bce,delta_symmetric_minus_local_ap,delta_symmetric_minus_local_brier,delta_residual_minus_local_auc,delta_residual_minus_local_bce,delta_residual_minus_local_ap,delta_residual_minus_local_brier,delta_symmetric_minus_global_auc,delta_symmetric_minus_global_bce,delta_symmetric_minus_global_ap,delta_symmetric_minus_global_brier,delta_residual_minus_global_auc,delta_residual_minus_global_bce,delta_residual_minus_global_ap,delta_residual_minus_global_brier,delta_local_minus_global_auc,delta_local_minus_global_bce,delta_local_minus_global_ap,delta_local_minus_global_brier
20,0.7042989762276592,0.6360518034646157,0.6966311501751865,0.2236409697501214,0.6446269814536955,0.6686478911054922,0.5976753096629791,0.23610805022864664,0.7282180441150952,0.6202183505624866,0.7034842518443339,0.21465736939778704,0.7355161221177696,0.6020790660162989,0.7301860646556636,0.2077447424318781,0.007298078002674457,-0.01813928454618774,0.02670181281132966,-0.006912626965908941,0.02391906788743592,-0.015833452902129008,0.006853101669147432,-0.008983600352334364,0.031217145890110376,-0.03397273744831675,0.033554914480477094,-0.015896227318243306,0.0835910626613997,-0.04842954054300552,0.10580894218135484,-0.021450680830859603,0.09088914066407416,-0.06656882508919326,0.1325107549926845,-0.028363307796768544,0.05967199477396379,-0.032596087640876514,0.0989558405122074,-0.012467080478525239
21,0.6923045317220543,0.6395678507214568,0.6920835179395578,0.22497939624591423,0.6344567975830816,0.6722589473582158,0.6049151327303677,0.23965864706052184,0.7212930513595166,0.6283054471812501,0.711686342794295,0.21729561864474572,0.7299504531722054,0.6059105869608591,0.7370588383163414,0.20966664655847136,0.008657401812688814,-0.022394860220391055,0.025372495522046457,-0.00762897208627436,0.028988519637462296,-0.011262403540206689,0.01960282485473719,-0.007683777601168507,0.03764592145015111,-0.033657263760597744,0.044975320376783645,-0.015312749687442867,0.086836253776435,-0.04395350017696564,0.10677121006392731,-0.022363028415776115,0.09549365558912382,-0.0663483603973567,0.13214370558597377,-0.029992000502050475,0.057847734138972706,-0.032691096636758954,0.08716838520919012,-0.014679250814607608
22,0.7178314076850202,0.6169221497944432,0.735478803851584,0.21550639761885484,0.6421334634787987,0.6853677969846067,0.6006778331340654,0.24398736680603833,0.7313714078416123,0.6197398852178502,0.7241862841625648,0.21359038233638591,0.7539885322357964,0.5842901226642667,0.7732159704424482,0.2011447299849978,0.022617124394184174,-0.03544976255358345,0.049029686279883355,-0.012445652351388115,0.013540000156592069,0.0028177354234070195,-0.011292519689019231,-0.0019160152824689303,0.03615712455077624,-0.03263202713017643,0.037737166590864124,-0.014361667633857045,0.08923794436281351,-0.06562791176675653,0.12350845102849939,-0.030396984469652416,0.11185506875699769,-0.10107767432033998,0.17253813730838274,-0.04284263682104053,0.07569794420622145,-0.06844564719016355,0.13480097071751862,-0.028480969187183486
23,0.7019478810966019,0.63024088404055,0.7206608741995747,0.2203078220831188,0.6575321310293942,0.6734771341719153,0.6437850064678823,0.23859342039934192,0.732058387814518,0.6137326275094905,0.7259175710588444,0.21074250404905936,0.7524409286682568,0.5909363415283939,0.7628984431914728,0.20248148987785836,0.020382540853738806,-0.02279628598109662,0.03698087213262846,-0.008261014171201009,0.030110506717916152,-0.016508256531059473,0.005256696859269661,-0.009565318034059439,0.05049304757165496,-0.03930454251215609,0.04223756899189812,-0.017826332205260448,0.07452625678512381,-0.05974450666242481,0.08213256459096208,-0.027850916350282556,0.09490879763886262,-0.08254079264352143,0.11911343672359054,-0.036111930521483565,0.04441575006720766,-0.04323625013136534,0.07687586773169242,-0.018285598316223117
24,0.7037504284571733,0.6288603016403773,0.699068862949456,0.22036012888722256,0.6356233575808354,0.6784204940562467,0.5805460446800731,0.24045325543298607,0.7069519556689644,0.6408546729383531,0.6688212187618536,0.22313742144992935,0.7229524507750313,0.6077436395798698,0.7254722802090716,0.21139148262561716,0.016000495106066936,-0.03311103335848331,0.05665106144721799,-0.011745938824312185,0.003201527211791122,0.011994371297975759,-0.030247644187602396,0.0027772925627067846,0.01920202231785806,-0.02111666206050755,0.02640341725961559,-0.0089686462616054,0.07132859808812897,-0.03756582111789364,0.08827517408178054,-0.017315833983056722,0.0873290931941959,-0.07067685447637695,0.14492623552899853,-0.029061772807368907,0.06812707087633785,-0.0495601924158694,0.11852281826938293,-0.020093126545763507
25,0.6529413173365902,0.6520233578958526,0.6868343875111566,0.2311581833216146,0.6596800651364392,0.6937490985675823,0.6775355137169332,0.24535906976175567,0.6966174551288958,0.6445537656002782,0.7181804735919717,0.22525136692878572,0.705013350575332,0.624395018442809,0.7399531906280429,0.21831479743008894,0.008395895446436152,-0.020158747157469237,0.0217727170360712,-0.006936569498696782,0.043676137792305614,-0.007469592295574423,0.03134608608081513,-0.00590681639282889,0.052072033238741766,-0.02762833945304366,0.053118803116886326,-0.012843385891525672,0.03693738999245666,-0.04919533296730405,0.04064495987503847,-0.020107702832969948,0.04533328543889281,-0.06935408012477329,0.062417676911109665,-0.02704427233166673,-0.006738747799848954,-0.04172574067172963,0.009298873794223339,-0.014200886440141058
26,0.7172472138486636,0.6164845803023212,0.7329318872806742,0.21529650287428959,0.6309108378779319,0.6906666823087663,0.6022182914547975,0.24577825831381908,0.7351216087087357,0.6111414429224352,0.7257526733324174,0.21067667532726117,0.746543377380305,0.5881117861739388,0.7658938788561676,0.20273533704764224,0.011421768671569299,-0.02302965674849644,0.04014120552375011,-0.007941338279618931,0.01787439486007203,-0.005343137379886009,-0.007179213948256713,-0.004619827547028416,0.029296163531641328,-0.02837279412838245,0.0329619915754934,-0.012561165826647347,0.10421077083080377,-0.07952523938633105,0.12353438187761989,-0.03510158298655791,0.11563253950237307,-0.10255489613482749,0.16367558740137,-0.04304292126617684,0.08633637597073174,-0.07418210200644504,0.1307135958258766,-0.030481755439529495
27,0.6884541110837813,0.6375111814149732,0.709994628468275,0.22376034416139734,0.6238584683982185,0.6906297644724461,0.6378108363921439,0.24632134724351576,0.7113632438599338,0.6339069552628335,0.7237890757167383,0.22039503871980146,0.7107430880097969,0.6217884794434857,0.7394349906172383,0.2172520972473092,-0.0006201558501368609,-0.012118475819347774,0.015645914900499935,-0.00314294147249225,0.022909132776152474,-0.0036042261521397334,0.013794447248463348,-0.003365305441595884,0.022288976926015613,-0.015722701971487507,0.029440362148963284,-0.006508246914088134,0.08750477546171531,-0.05672280920961259,0.08597823932459447,-0.025926308523714303,0.08688461961157845,-0.06884128502896036,0.10162415422509441,-0.029069249996206553,0.06459564268556284,-0.05311858305747286,0.07218379207613113,-0.02256100308211842
28,0.6757601171458998,0.6430416531808745,0.6944897078418578,0.22687782638009346,0.6709677848775293,0.6719545254614322,0.6606127843228313,0.23657240344431316,0.7117358892438765,0.6361622648000407,0.7249571912330268,0.2211390086706565,0.7135516506922257,0.6177525613830285,0.7422686683977187,0.21546238422076092,0.0018157614483491624,-0.018409703417012202,0.017311477164691835,-0.005676624449895584,0.035975772097976755,-0.006879388380833795,0.030467483391169004,-0.005738817709436961,0.03779153354632592,-0.025289091797845997,0.04777896055586084,-0.011415442159332545,0.04076810436634726,-0.03579226066139152,0.0643444069101955,-0.015433394773656656,0.04258386581469642,-0.05420196407840372,0.08165588407488733,-0.02111001922355224,0.004792332268370503,-0.028912872280557722,0.03387692351902649,-0.009694577064219695
29,0.7117687289562289,0.6280945231515254,0.7194728109989588,0.22018927576813208,0.6325599747474747,0.6900295009427838,0.5973609223440408,0.24371323750201565,0.7265546085858586,0.6218681118131667,0.7017723446567734,0.21519230245430163,0.7507496843434344,0.587022068960842,0.7598849710978309,0.20161843101404078,0.024195075757575735,-0.03484604285232473,0.058112626441057524,-0.013573871440260843,0.014785879629629739,-0.006226411338358662,-0.01770046634218536,-0.0049969733138304495,0.038980955387205474,-0.041072454190683394,0.04041216009887216,-0.018570844754091292,0.09399463383838391,-0.06816138912961711,0.1044114223127326,-0.028520935047714024,0.11818970959595965,-0.10300743198194184,0.16252404875379012,-0.04209480648797487,0.07920875420875417,-0.06193497779125845,0.12211188865491795,-0.023523961733883575
