threshold,accuracy,balanced_accuracy,precision,recall,sensitivity,specificity,negative_predictive_value,f1,youden_j,true_negative,false_positive,false_negative,true_positive
0.33499999999999996,0.7114624505928854,0.7128830519074422,0.6811594202898551,0.7642276422764228,0.7642276422764228,0.6615384615384615,0.7478260869565218,0.7203065134099617,0.42576610381488433,86,44,29,94
0.33999999999999997,0.7193675889328063,0.7203564727954972,0.6940298507462687,0.7560975609756098,0.7560975609756098,0.6846153846153846,0.7478991596638656,0.7237354085603113,0.4407129455909944,89,41,30,93
0.345,0.7193675889328063,0.7201375859912444,0.696969696969697,0.7479674796747967,0.7479674796747967,0.6923076923076923,0.743801652892562,0.7215686274509804,0.4402751719824889,90,40,31,92
0.35,0.7233201581027668,0.7239837398373983,0.7022900763358778,0.7479674796747967,0.7479674796747967,0.7,0.7459016393442623,0.7244094488188977,0.44796747967479655,91,39,31,92
0.355,0.7233201581027668,0.7237648530331457,0.7054263565891473,0.7398373983739838,0.7398373983739838,0.7076923076923077,0.7419354838709677,0.7222222222222222,0.4475297060662915,92,38,32,91
0.35999999999999993,0.7193675889328063,0.7196998123827392,0.703125,0.7317073170731707,0.7317073170731707,0.7076923076923077,0.736,0.7171314741035857,0.43939962476547834,92,38,33,90
0.36499999999999994,0.7154150197628458,0.7156347717323328,0.7007874015748031,0.7235772357723578,0.7235772357723578,0.7076923076923077,0.7301587301587301,0.712,0.4312695434646656,92,38,34,89
0.36999999999999994,0.7114624505928854,0.7113508442776735,0.7016129032258065,0.7073170731707317,0.7073170731707317,0.7153846153846154,0.7209302325581395,0.7044534412955465,0.42270168855534695,93,37,36,87
0.37499999999999994,0.7114624505928854,0.7113508442776735,0.7016129032258065,0.7073170731707317,0.7073170731707317,0.7153846153846154,0.7209302325581395,0.7044534412955465,0.42270168855534695,93,37,36,87
0.37999999999999995,0.7154150197628458,0.7151969981238273,0.7073170731707317,0.7073170731707317,0.7073170731707317,0.7230769230769231,0.7230769230769231,0.7073170731707317,0.4303939962476546,94,36,36,87
0.38499999999999995,0.7114624505928854,0.711131957473421,0.7049180327868853,0.6991869918699187,0.6991869918699187,0.7230769230769231,0.7175572519083969,0.7020408163265306,0.4222639149468419,94,36,37,86
